food_id,food_name,category,cuisine,meal_type,serving_size_g,calories_kcal,protein_g,carbs_g,fat_g,fiber_g,sugar_g,sodium_mg,vegetarian,vegan,gluten_free,diabetic_friendly,high_protein,low_fat,heart_healthy,weight_loss_friendly,main_ingredients,tags
1,Rui Bhuna,Fish,Bangladeshi,Lunch,100,218.6,17.7,3.4,4.7,0.7,1.1,415.7,No,No,Yes,Yes,Yes,Yes,No,Yes,"Rui, oil, spices","fish,seafood,protein"
2,Rui Jhol (Curry),Fish,Bangladeshi,Lunch,100,115.0,17.6,8.0,12.5,0.7,1.4,338.8,No,No,Yes,Yes,Yes,No,Yes,No,"Rui, oil, spices","fish,seafood,protein"
3,Rui Bhaja (Fried),Fish,Bangladeshi,Dinner,150,144.5,24.6,9.6,5.7,0.4,0.6,246.9,No,No,Yes,Yes,Yes,Yes,Yes,Yes,"Rui, oil, spices","fish,seafood,protein"
4,Rui Shorshe (Mustard Curry),Fish,Bangladeshi,Dinner,100,114.8,16.1,10.5,13.3,0.8,1.5,391.3,No,No,Yes,Yes,Yes,No,Yes,No,"Rui, oil, spices","fish,seafood,protein"
5,Rui Dopiaza,Fish,Bangladeshi,Dinner,100,188.3,24.1,8.2,17.6,0.6,1.4,170.6,No,No,Yes,Yes,Yes,No,No,No,"Rui, oil, spices","fish,seafood,protein"
6,Rui Tok (Sour Curry),Fish,Bangladeshi,Lunch,120,257.6,24.4,10.7,9.5,0.5,1.7,223.2,No,No,Yes,Yes,Yes,No,Yes,No,"Rui, oil, spices","fish,seafood,protein"
7,Rui Paturi (Steamed in Leaf),Fish,Bangladeshi,Dinner,100,207.2,22.7,8.8,4.2,0.6,1.1,260.2,No,No,Yes,Yes,Yes,Yes,Yes,Yes,"Rui, oil, spices","fish,seafood,protein"
8,Rui Chochchori,Fish,Bangladeshi,Dinner,120,143.2,25.2,8.9,6.7,0.3,1.5,175.2,No,No,Yes,Yes,Yes,Yes,Yes,Yes,"Rui, oil, spices","fish,seafood,protein"
9,Rui Curry,Fish,Bangladeshi,Lunch,120,164.2,15.7,11.1,12.6,0.7,0.4,374.7,No,No,Yes,Yes,Yes,No,Yes,No,"Rui, oil, spices","fish,seafood,protein"
10,Rui Grilled,Fish,Bangladeshi,Dinner,100,142.4,17.7,7.6,7.5,0.6,1.8,329.7,No,No,Yes,Yes,Yes,Yes,Yes,Yes,"Rui, oil, spices","fish,seafood,protein"
11,Rui Roast,Fish,Bangladeshi,Lunch,100,181.5,16.0,2.5,4.9,0.6,1.6,340.0,No,No,Yes,Yes,Yes,Yes,Yes,Yes,"Rui, oil, spices","fish,seafood,protein"
12,Katla Bhuna,Fish,Bangladeshi,Lunch,120,161.1,26.0,7.3,19.5,0.9,0.0,474.3,No,No,Yes,Yes,Yes,No,No,No,"Katla, oil, spices","fish,seafood,protein"
13,Katla Jhol (Curry),Fish,Bangladeshi,Dinner,150,154.4,18.2,3.6,3.1,0.7,1.4,587.3,No,No,Yes,Yes,Yes,Yes,No,Yes,"Katla, oil, spices","fish,seafood,protein"
14,Katla Bhaja (Fried),Fish,Bangladeshi,Lunch,150,246.0,24.6,5.0,13.9,0.6,0.3,493.1,No,No,Yes,Yes,Yes,No,No,No,"Katla, oil, spices","fish,seafood,protein"
15,Katla Shorshe (Mustard Curry),Fish,Bangladeshi,Lunch,150,151.9,15.2,11.3,17.9,0.8,0.6,176.1,No,No,Yes,Yes,Yes,No,No,No,"Katla, oil, spices","fish,seafood,protein"
16,Katla Dopiaza,Fish,Bangladeshi,Lunch,100,217.1,24.0,11.8,12.1,0.1,1.3,576.1,No,No,Yes,Yes,Yes,No,No,No,"Katla, oil, spices","fish,seafood,protein"
17,Katla Tok (Sour Curry),Fish,Bangladeshi,Lunch,120,184.4,21.7,11.6,18.8,0.8,1.4,470.8,No,No,Yes,Yes,Yes,No,No,No,"Katla, oil, spices","fish,seafood,protein"
18,Katla Paturi (Steamed in Leaf),Fish,Bangladeshi,Dinner,150,204.0,19.8,7.2,5.1,0.2,0.7,414.7,No,No,Yes,Yes,Yes,Yes,No,Yes,"Katla, oil, spices","fish,seafood,protein"
19,Katla Chochchori,Fish,Bangladeshi,Lunch,150,135.2,15.8,8.3,6.9,0.9,1.7,181.9,No,No,Yes,Yes,Yes,Yes,Yes,Yes,"Katla, oil, spices","fish,seafood,protein"
20,Katla Curry,Fish,Bangladeshi,Lunch,120,207.0,17.4,3.3,18.9,0.6,0.9,503.1,No,No,Yes,Yes,Yes,No,No,No,"Katla, oil, spices","fish,seafood,protein"
21,Katla Grilled,Fish,Bangladeshi,Dinner,100,115.1,22.2,5.5,10.0,0.9,0.1,444.1,No,No,Yes,Yes,Yes,No,No,Yes,"Katla, oil, spices","fish,seafood,protein"
22,Katla Roast,Fish,Bangladeshi,Lunch,100,164.4,18.7,10.6,7.2,0.2,0.9,339.8,No,No,Yes,Yes,Yes,Yes,Yes,Yes,"Katla, oil, spices","fish,seafood,protein"
